Obs,LABEL,FORMAT,LENGTH,TYPE,START,END,DESCRIPTION,KEEP,FORM SECTION
209,OTHER_INF_OSTXT_DON,$,50,Character,1514,1563,"DECEASED DONOR INFECTION OTHER SOURCE, SPECIFIED",1,CLINICAL INFORMATION
210,PRETREAT_MED_DON_OLD,$,1,Character,1564,1564,DECEASED DONOR PRE-RECOVERY MEDICATION(S) FROM BRAIN DEATH TO 24 HRS PRIOR TO PROCUREMENT,1,CLINICAL INFORMATION
211,PT_DIURETICS_DON,$,1,Character,1565,1565,DECEASED DONOR-DIURETICS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT,1,CLINICAL INFORMATION
212,PT_STEROIDS_DON,$,1,Character,1566,1566,DECEASED DONOR-STEROIDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT,1,CLINICAL INFORMATION
213,PT_T3_DON,$,1,Character,1567,1567,DECEASED DONOR-TRIIODOTHYRONINE-T3 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT,1,CLINICAL INFORMATION
214,PT_T4_DON,$,1,Character,1568,1568,DECEASED DONOR-THYROXINE-T4 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT,1,CLINICAL INFORMATION
215,PT_OTH2_OSTXT_DON,$,75,Character,1569,1643,DECEASED DONOR-OTHER MEDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT #2,1,CLINICAL INFORMATION
216,PT_OTH3_OSTXT_DON,$,75,Character,1644,1718,DECEASED DONOR-OTHER MEDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT #3,1,CLINICAL INFORMATION
217,PT_OTH4_OSTXT_DON,$,50,Character,1719,1768,DECEASED DONOR-OTHER MEDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT #4,1,CLINICAL INFORMATION
218,PT_OTH1_OSTXT_DON,$,75,Character,1769,1843,DECEASED DONOR-OTHER MEDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT #1,1,CLINICAL INFORMATION
219,PULM_INF_DON,,1,Character,1844,1844,DECEASED DONOR-INFECTION PULMONARY SOURCE,1,CLINICAL INFORMATION
220,PULM_INF_CONF_DON,$,1,Character,1845,1845,DECEASED DONOR-INFECTION PULMONARY SOURCE-CONFIRMED,1,CLINICAL INFORMATION
221,SGOT_DON,,10,Numeric,1846,1855,DECEASED DONOR-TERMINAL SGOT/AST,1,CLINICAL INFORMATION
222,SGPT_DON,,10,Numeric,1856,1865,DECEASED DONOR-TERMINAL SGPT/ALT,1,CLINICAL INFORMATION
223,TBILI_DON,,10,Numeric,1866,1875,DECEASED DONOR-TERMINAL TOTAL BILIRUBIN,1,CLINICAL INFORMATION
224,URINE_INF_DON,,1,Character,1876,1876,DECEASED DONOR-INFECTION URINE SOURCE,1,CLINICAL INFORMATION
225,URINE_INF_CONF_DON,$,1,Character,1877,1877,DECEASED DONOR-INFECTION URINE SOURCE-CONFIRMED,1,CLINICAL INFORMATION
226,VASODIL_DON,$,1,Character,1878,1878,DECEASED DONOR-VASODILATORS W/IN 24HRS PRE-CROSS CLAMP,1,CLINICAL INFORMATION
227,VDRL_DON,$,2,Character,1879,1880,DECEASED DONOR-RPR-VDRL RESULT,1,CLINICAL INFORMATION
228,CLIN_INFECT_DON,$,1,Character,1881,1881,"DECEASED DONOR-CLINICAL INFECTION (Y,N)",1,CLINICAL INFORMATION
229,HYPERTENS_DUR_DON,,10,Numeric,1882,1891,DECEASED DONOR-HYPERTENSION DURATION,1,DONOR HISTORY
230,CANCER_FREE_INT_DON,,10,Numeric,1892,1901,DECEASED DONOR-CANCER FREE INTERVAL (YEARS),1,DONOR HISTORY
231,CANCER_OTH_OSTXT_DON,$,50,Character,1902,1951,DECEASED DONOR-CANCER SITE-OTHER SPECIFY,1,DONOR HISTORY
232,CONTIN_ALCOHOL_OLD_DON,$,1,Character,1952,1952,DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY+ RECENT 6MO USE,1,DONOR HISTORY
233,CONTIN_CIG_DON,$,1,Character,1953,1953,DECEASED DONOR-HISTORY OF CIGARETTES IN PAST@ >20PACK YRS+RECENT 6MO USE,1,DONOR HISTORY
234,CONTIN_IV_DRUG_OLD_DON,$,1,Character,1954,1954,DECEASED DONOR-HISTORY OF IV DRUG USE+RECENT 6MO USE,1,DONOR HISTORY
235,CONTIN_COCAINE_DON,$,1,Character,1955,1955,DECEASED DONOR-HISTORY OF COCAINE USE+RECENT 6MO USE,1,DONOR HISTORY
236,CONTIN_OTH_DRUG_DON,$,1,Character,1956,1956,DECEASED DONOR-HISTORY OF OTHER DRUGS IN PAST+RECENT 6MO USE,1,DONOR HISTORY
237,DIET_DON,$,1,Character,1957,1957,DECEASED DONOR-HYPERTENSION DIET CONTROLLED,1,DONOR HISTORY
238,DIURETICS_DON,$,1,Character,1958,1958,DECEASED DONOR-HYPERTENSION DIURETIC CONTROLLED,1,DONOR HISTORY
239,EXTRACRANIAL_CANCER_DON,$,1,Character,1959,1959,DECEASED DONOR-EXTRACANIAL CANCER AT PROCUREMENT,1,DONOR HISTORY
240,HIST_ALCOHOL_OLD_DON,$,1,Character,1960,1960,DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY,1,DONOR HISTORY
241,CANCER_SITE_DON,,6,Character,1961,1966,DECEASED DONOR-CANCER SITE,1,DONOR HISTORY
242,HIST_CIG_DON,$,1,Character,1967,1967,DECEASED DONOR-HISTORY OF CIGARETTES IN PAST @ >20PACK YRS,1,DONOR HISTORY
243,DIABDUR_DON,,10,Numeric,1968,1977,DECEASED DONOR-DIABETES DURATION,1,DONOR HISTORY
244,HIST_COCAINE_DON,$,1,Character,1978,1978,DECEASED DONOR-HISTORY OF COCAINE USE IN PAST,1,DONOR HISTORY
245,HIST_HYPERTENS_DON,,1,Character,1979,1979,"DECEASED DONOR-HISTORY OF HYPERTENSION (Y,N)",1,DONOR HISTORY
246,HIST_IV_DRUG_OLD_DON,$,1,Character,1980,1980,DECEASED DONOR-HISTORY OF IV DRUG USE IN PAST,1,DONOR HISTORY
247,INSULIN_DEP_DON,,6,Numeric,1981,1986,"DECEASED DONOR-INSULIN DEPENDENT DIABETES, INCL. DURATION OF DEPENDENCE",1,DONOR HISTORY
248,INTRACRANIAL_CANCER_DON,$,1,Character,1987,1987,DECEASED DONOR-INTRACANIAL CANCER AT PROCUREMENT,1,DONOR HISTORY
249,OTHER_HYPERTENS_MED_DON,$,1,Character,1988,1988,DECEASED DONOR-HYPERTENSION CONTROLLED BY NON-DIURETIC MEDS,1,DONOR HISTORY
250,HIST_CANCER_DON,,1,Character,1989,1989,DECEASED DONOR-HISTORY OF CANCER (Y/N),1,DONOR HISTORY
251,HIST_INSULIN_DEP_DON,,1,Character,1990,1990,"DECEASED DONOR-INSULIN DEPENDENT DIABETES (Y,N)",1,DONOR HISTORY
252,INSULIN_DUR_DON,,10,Numeric,1991,2000,DECEASED DONOR-INSULIN DEPENDENT DIABETES DURATION,1,DONOR HISTORY
253,HIST_DIABETES_DON,,6,Numeric,2001,2006,"DECEASED DONOR-HISTORY OF DIABETES, INCL. DURATION OF DISEASE",1,DONOR HISTORY
254,HIST_OTH_DRUG_DON,$,1,Character,2007,2007,DECEASED DONOR-HISTORY OF OTHER DRUG USE IN PAST,1,DONOR HISTORY
255,SKIN_CANCER_DON,$,1,Character,2008,2008,DECEASED DONOR-SKIN CANCER AT PROCUREMENT (Y/N),1,DONOR HISTORY
256,DIABETES_DON,,1,Character,2009,2009,"DECEASED DONOR-HISTORY OF DIABETES (Y,N)",1,DONOR HISTORY
257,LIV_DON_TY_OSTXT,$,50,Character,2010,2059,LIVING DONOR RELATION TO RECIPIENT TYPE SPECIFY,1,DONOR INFORMATION
258,HEPARIN_DON,$,1,Character,2060,2060,DECEASED DONOR MANAGEMENT - HEPARIN (NO COLLECTION BETWEEN 10/25/99 - 1/27/03),1,CLINICAL INFORMATION
259,ARGININE_DON,$,1,Character,2061,2061,DECEASED DONOR-WAS DONOR GIVEN ARGININE VASOPRESSIN WITHIN 24 HRS PRE CROSS CLAMP?,1,CLINICAL INFORMATION
260,INSULIN_DON,$,1,Character,2062,2062,DECEASED DONOR-WAS DONOR GIVEN INSULIN WITHIN 24 HRS PRE CROSS CLAMP?,1,CLINICAL INFORMATION
261,HGT_CM_DON_CALC,,8,Numeric,2063,2070,CALCULATED DONOR HEIGHT (CM),1,
262,WGT_KG_DON_CALC,,8,Numeric,2071,2078,CALCULATED DONOR WEIGHT (KG),1,
263,BMI_DON_CALC,,10,Numeric,2079,2088,Donor BMI - Pre/At Donation Calculated,1,
264,KDPI,PERCENT,7,Numeric,2089,2095,KDPI (Kidney Donor Profile Index)  (ref. population = 2015) : Post 04/01/1994,1,
265,KDRI_MED,,10,Numeric,2096,2105,KDRI (Kidney Donor Risk Index) Median (ref. donor = 2015 median) : Post 04/01/1994,1,
266,KDRI_RAO,,10,Numeric,2106,2115,KDRI Rao : Post 04/01/1994,1,
267,END_STAT_KI,,6,Character,2116,2121,KIDNEY STATUS AT TIME OF TRANSPLANT,1,WAITING LIST DATA
268,DIAL_DATE,MMDDYY,10,Numeric,2122,2131,RECIPIENT DATE FIRST DIALYZED  @ TRANSPLANT,1,PRETRANSPLANT CLINICAL INFORMATION
269,RETXDATE_KI,MMDDYY,10,Numeric,2132,2141,DATE KIDNEY RE-TRANSPLANTED,1,
270,FAILDATE_KI,MMDDYY,10,Numeric,2142,2151,GRAFT FAIL DATE-KIDNEY,0,POST TRANSPLANT CLINICAL INFORMATION
271,PUMP_KI,$,1,Character,2152,2152,KIDNEY PUMP USED,1,
272,ABO_MAT,,1,Character,2153,2153,DONOR-RECIPIENT ABO MATCH LEVEL,1,
273,AGE,,3,Numeric,2154,2156,RECIPIENT AGE (YRS),1,RECIPIENT INFORMATION
274,DISTANCE,,10,Numeric,2157,2166,MILES FROM DONOR HOSP TO TX CENTER,1,
275,RESUM_MAINT_DIAL,,1,Character,2167,2167,RECIPIENT RESUMED MAINTENANCE DIALYSIS POST KI TX,0,POST TRANSPLANT CLINICAL INFORMATION/CLINICAL INFORMATION
276,DIAL_TRR,,1,Character,2168,2168,"RECIPIENT PRETRANSPLANT DIALYSIS (Y,N)  @ TRANSPLANT",1,PRETRANSPLANT CLINICAL INFORMATION
277,DIAG_KI,,10,Numeric,2169,2178,KIDNEY RECIPIENT PRIMARY DIAGNOSIS @ TX,1,PATIENT STATUS/CLINICAL INFORMATION
278,DIAG_OSTXT_KI,,50,Character,2179,2228,KIDNEY RECIPIENT PRIMARY DIAGNOSIS SPECIFIED,1,PATIENT STATUS/CLINICAL INFORMATION
279,COLD_ISCH_KI,,10,Numeric,2229,2238,KIDNEY COLD ISCHEMIC TIME (HOURS),1,TRANSPLANT CLINICAL INFORMATION
280,GRF_STAT_KI,,1,Character,2239,2239,RECIPIENT GRAFT STATUS FROM FORM-KI,0,POST TRANSPLANT CLINICAL INFORMATION
281,GRF_FAIL_CAUSE_OSTXT_KI,,50,Character,2240,2289,RECIPIENT GRAFT FAILURE PRIMARY CAUSE SPECIFIED-KI,0,POST TRANSPLANT CLINICAL INFORMATION
282,GRF_FAIL_CAUSE_TY_KI,,10,Character,2290,2299,RECIPIENT GRAFT FAILURE PRIMARY CAUSE-KI,0,POST TRANSPLANT CLINICAL INFORMATION
283,DWFG_KI,,1,Character,2300,2300,RECIPIENT DIED W/FUNCTIONING GRAFT,0,
284,PRVTXDIF_KI,,10,Numeric,2301,2310,DAYS SINCE PREVIOUS TX -KIDNEY,1,
285,GTIME_KI,,10,Numeric,2311,2320,GRAFT LIFESPAN-KIDNEY-Days From Transplant to Failure/Death/Last Follow-Up,0,
286,GSTATUS_KI,,10,Character,2321,2330,GRAFT FAILED (1=YES)-KIDNEY,1,
287,COD_KI,,10,Character,2331,2340,RECIPIENT CAUSE OF DEATH,0,PATIENT STATUS
288,COD_OSTXT_KI,,50,Character,2341,2390,RECIPIENT CAUSE OF DEATH SPECIFIED@ FOLLOW-UP-KI,0,PATIENT STATUS AT TIME OF FOLLOW-UP
289,COD2_KI,,10,Character,2391,2400,RECIPIENT CONTRIBUTORY CAUSE OF DEATH 1,0,PATIENT STATUS
290,COD2_OSTXT_KI,,50,Character,2401,2450,RECIPIENT CONTRIBUTARY CAUSE OF DEATH 1- OTHER SPECIFY,0,PATIENT STATUS
291,COD3_KI,,10,Character,2451,2460,RECIPIENT CONTRIBUTORY CAUSE OF DEATH 2,0,PATIENT STATUS
292,COD3_OSTXT_KI,,50,Character,2461,2510,RECIPIENT CONTRIBUTARY CAUSE OF DEATH 2- OTHER SPECIFY,0,PATIENT STATUS
293,DAYSWAIT_CHRON_KI,,10,Numeric,2511,2520,TOTAL DAYS ON KIDNEY WAITING LIST,1,
294,TX_PROCEDUR_TY_KI,,10,Character,2521,2530,KIDNEY TRANSPLANT PROCEDURE TYPE,1,TRANSPLANT CLINICAL INFORMATION
295,TRTREJ1Y_KI,,1,Character,2531,2531,TREATED FOR REJECTION WITHIN 1 YEAR,1,
296,TRTREJ6M_KI,,1,Character,2532,2532,TREATED FOR REJECTION WITHIN 6 MONTHS,1,
297,MULTIORG,,1,Character,2533,2533,MULTI-ORGAN TRANSPLANT,1,
298,PRI_PAYMENT_TRR_PA,,6,Character,2534,2539,RECIPIENT PRIMARY PAYMENT SOURCE-PA  @ TRANSPLANT,1,PATIENT STATUS
299,PRI_PAYMENT_CTRY_TRR_PA,$,3,Character,2540,2542,RECIPIENT FOREIGN COUNTRY SPECIFIED AS PRIMARY PAYMENT SOURCE-PA  @ TRANSPLANT,1,PATIENT STATUS
300,ART_RECON,,6,Character,2543,2548,RECIPIENT ARTERIAL RECONSTRUCTION PROCEDURE @ PA TX,1,TRANSPLANT CLINICAL INFORMATION
301,ART_RECON_OSTXT,$,50,Character,2549,2598,"RECIPIENT ARTERIAL RECONSTRUCTION PROCEDURE, SPECIFIED @ PA TX",1,TRANSPLANT CLINICAL INFORMATION
302,DUCT_MGMT,,6,Character,2599,2604,RECIPIENT DUCT MANAGEMENT PROCEDURE @ PA TX,1,TRANSPLANT CLINICAL INFORMATION
303,DUCT_MGMT_OSTXT,$,50,Character,2605,2654,RECIPIENT DUCT MANAGEMENT PROCEDURE SPECIFIED @ PA TX,1,TRANSPLANT CLINICAL INFORMATION
304,GRF_PLACEM,,6,Character,2655,2660,RECIPIENT GRAFT PLACEMENT PROCEDURE @ TX,0,TRANSPLANT CLINICAL INFORMATION
305,PRE_AVG_INSULIN_USED_TRR,,10,Numeric,2661,2670,RECIPIENT AVERAGE DAILY INSULIN UNITS PRE TRANSPLANT  @ TRANSPLANT,1,PRETRANSPLANT CLINICAL INFORMATION
306,ACUTE_REJ_EPI_PA,,6,Character,2671,2676,RECIPIENT ANY ACUTE REJECTION EPISODES BETW. TX AND DISCHARGE-PANCREAS,0,POST TRANSPLANT CLINICAL INFORMATION
307,PA_PRESERV_TM,,10,Numeric,2677,2686,PANCREAS TOTAL PRESERVATION TIME (HOURS),1,TRANSPLANT CLINICAL INFORMATION
308,VASC_MGMT,,6,Character,2687,2692,RECIPIENT VENOUS MANAGEMENT TYPE @ PANCREAS TX,1,TRANSPLANT CLINICAL INFORMATION
309,VEN_EXT_GRF,$,1,Character,2693,2693,PANCREAS VENOUS EXTENSION GRAFT,1,TRANSPLANT CLINICAL INFORMATION
310,METH_BLOOD_SUG_CTL_PA,,6,Character,2694,2699,PANCREAS METHOD OF BLOOD SUGAR CONTROL,1,CLINICAL INFORMATION
311,PRI_PAYMENT_CTRY_TCR_PA,$,3,Character,2700,2702,RECIPIENT-FOREIGN GOVERNMENT AS PROJECTED PAYMENT SOURCE-PA  @ REGISTRATION,1,CANDIDATE INFORMATION
312,PK_DA1,,6,Character,2703,2708,PREVIOUS KIDNEY-DONOR A1 ANTIGEN,1,
313,PK_DA2,,6,Character,2709,2714,PREVIOUS KIDNEY-DONOR A2 ANTIGEN,1,
314,PK_DB1,,6,Character,2715,2720,PREVIOUS KIDNEY-DONOR B1 ANTIGEN,1,
315,PK_DB2,,6,Character,2721,2726,PREVIOUS KIDNEY-DONOR B2 ANTIGEN,1,
316,PK_DDR1,,6,Character,2727,2732,PREVIOUS KIDNEY-DONOR DR1 ANTIGEN,1,
317,PK_DDR2,,6,Character,2733,2738,PREVIOUS KIDNEY-DONOR DR2 ANTIGEN,1,
318,ENTERIC_DRAIN,$,1,Character,2739,2739,RECIPIENT CONVERSION FROM BLADDER TO ENTERIC DRAINAGE @ PA-FOLLOW-UP,1,CLINICAL INFORMATION
319,ENTERIC_DRAIN_DT,MMDDYY,10,Numeric,2740,2749,RECIPIENT CONVERSION TO ENTERIC DRAINAGE DATE @PA-FOLLOW-UP,1,CLINICAL INFORMATION
320,END_STAT_PA,,6,Character,2750,2755,PANCREAS STATUS AT TIME OF TRANSPLANT,1,WAITING LIST DATA
321,FAILDATE_PA,MMDDYY,10,Numeric,2756,2765,GRAFT FAIL DATE-PANCREAS,0,POST TRANSPLANT CLINICAL INFORMATION
322,DIAG_PA,,10,Character,2766,2775,PANCREAS RECIPIENT PRIMARY DIAGNOSIS @ TX,1,PATIENT STATUS/CINICAL INFORMATION
323,DIAG_OSTXT_PA,,50,Character,2776,2825,PANCREAS RECIPIENT PRIMARY DIAGNOSIS SPECIFIED,1,PATIENT STATUS/CLINICAL INFORMATION
324,GRF_STAT_PA,,1,Character,2826,2826,RECIPIENT GRAFT STATUS FROM FORM-PA,0,POST TRANSPLANT CLINICAL INFORMATION
325,GRF_FAIL_CAUSE_OSTXT_PA,,50,Character,2827,2876,RECIPIENT GRAFT FAILURE PRIMARY CAUSE SPECIFIED-PA,0,POST TRANSPLANT CLINICAL INFORMATION
326,GRF_FAIL_CAUSE_TY_PA,,10,Character,2877,2886,RECIPIENT GRAFT FAILURE PRIMARY CAUSE-PA,0,POST TRANSPLANT CLINICAL INFORMATION
327,OTH_GRF_FAIL_CAUSE_OSTXT_PA,,50,Character,2887,2936,RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE: OTHER SPECIFIED-PA,0,POST TRANSPLANT CLINICAL INFORMATION
328,GRF_VASC_THROMB_PA,,1,Character,2937,2937,RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:GRAFT/VASCULAR THROMBOSIS-PA,0,POST TRANSPLANT CLINICAL INFORMATION
329,INFECT_PA,,1,Character,2938,2938,RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:INFECTION-PA,0,POST TRANSPLANT CLINICAL INFORMATION
330,BLEED_PA,,1,Character,2939,2939,RECIPIENT-GRAFT FAILURE CONTRIBUTORY CAUSE: BLEEDING ,0,POST TRANSPLANT CLINICAL INFORMATION
331,ANAST_LK_PA,,1,Character,2940,2940,RECIPIENT-GRAFT FAILURE CONTRIBUTORY CAUSE:ANASTOMOTIC LEAK,0,POST TRANSPLANT CLINICAL INFORMATION
332,REJ_ACUTE_PA,,1,Character,2941,2941,RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:ACUTE REJECTION-PA,0,POST TRANSPLANT CLINICAL INFORMATION
333,REJ_HYPER_PA,,1,Character,2942,2942,RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:HYPERACUTE REJECTION-PA,0,POST TRANSPLANT CLINICAL INFORMATION
334,BIOP_ISLET_PA,,1,Character,2943,2943,RECIPIENT-GRAFT FAILURE CONTRIBUTORY CAUSE:BIOPSY PROVEN ISLETITS,0,POST TRANSPLANT CLINICAL INFORMATION
335,PANCREATIT_PA,,1,Character,2944,2944,RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:PANCREATITIS,0,POST TRANSPLANT CLINICAL INFORMATION
336,REJ_CHRONIC_PA,,1,Character,2945,2945,RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:CHRONIC REJECTION-PA,0,CLINICAL INFORMATION
337,PX_NON_COMPL_PA,,1,Character,2946,2946,PANCREAS GRAFT FAILURE CONTRIBUTORY CAUSE-PATIENT NON-COMPLIANT,0,
338,RETXDATE_PA,MMDDYY,10,Numeric,2947,2956,DATE PANCREAS RE-TRANSPLANTED,1,
339,PRVTXDIF_PA,,10,Numeric,2957,2966,DAYS SINCE PREVIOUS TX-PANCREAS,1,
340,GTIME_PA,,10,Numeric,2967,2976,GRAFT LIFESPAN-PANCREAS-Days From Transplant to Failure/Death/Last Follow-Up,0,
341,GSTATUS_PA,,10,Character,2977,2986,GRAFT FAILED (1=YES)-PANCREAS,1,
342,MEDICATION_RES_DT_PA,MMDDYY,10,Numeric,2987,2996,DATE MEDICATIONS RESUMED,1,
343,COD_PA,,10,Character,2997,3006,RECIPIENT CAUSE OF DEATH,0,PATIENT STATUS
344,COD_OSTXT_PA,,50,Character,3007,3056,RECIPIENT CAUSE OF DEATH SPECIFIED@ FOLLOW-UP-PA,0,PATIENT STATUS AT TIME OF FOLLOW-UP
345,COD2_PA,,10,Character,3057,3066,RECIPIENT CONTRIBUTORY CAUSE OF DEATH 1,0,PATIENT STATUS
346,COD2_OSTXT_PA,,50,Character,3067,3116,RECIPIENT CONTRIBUTARY CAUSE OF DEATH 1- OTHER SPECIFY,0,PATIENT STATUS
347,COD3_PA,,10,Character,3117,3126,RECIPIENT CONTRIBUTORY CAUSE OF DEATH 2,0,PATIENT STATUS
348,COD3_OSTXT_PA,,50,Character,3127,3176,RECIPIENT CONTRIBUTARY CAUSE OF DEATH 2- OTHER SPECIFY,0,PATIENT STATUS
349,DAYSWAIT_CHRON_PA,,10,Numeric,3177,3186,TOTAL DAYS ON PANCREAS WAITING LIST,1,
350,TX_PROCEDUR_TY_PA,,10,Character,3187,3196,PANCREAS TRANSPLANT PROCEDURE TYPE,1,TRANSPLANT CLINICAL INFORMATION
351,TRTREJ1Y_PA,,1,Character,3197,3197,TREATED FOR REJECTION WITHIN 1 YEAR,1,
352,TRTREJ6M_PA,,1,Character,3198,3198,TREATED FOR REJECTION WITHIN 6 MONTHS,1,
353,ORGAN,,2,Character,3199,3200,ORGAN TYPE TRANSPLANTED,1,
354,CMV_IGG,$,2,Character,3201,3202,RECIPIENT-CMV BY IGG TEST RESULT  @ TRANSPLANT,1,PRETRANSPLANT CLINICAL INFORMATION
355,CMV_IGM,$,2,Character,3203,3204,RECIPIENT-CMV BY IGM TEST RESULT  @ TRANSPLANT,1,PRETRANSPLANT CLINICAL INFORMATION
356,EBV_SEROSTATUS,$,2,Character,3205,3206,RECIPIENT EPSTEIN BARR VIRUS STATUS AT TRANSPLANT-ADULTS ONLY,1,
357,HBV_CORE,$,2,Character,3207,3208,RECIPIENT HEPATITIS B-CORE ANTIBODY,1,CLINICAL INFORMATION
358,HBV_SUR_ANTIGEN,$,2,Character,3209,3210,RECIPIENT HEP B SURFACE ANTIGEN,1,CLINICAL INFORMATION
359,HCV_SEROSTATUS,$,2,Character,3211,3212,RECIPIENT HEP C STATUS,1,CLINICAL INFORMATION
360,HIV_SEROSTATUS,$,2,Character,3213,3214,RECIPIENT HIV SEROSTATUS AT TRANSPLANT,1,CLINICAL INFORMATION
361,CMV_STATUS,$,2,Character,3215,3216,RECIPIENT CMV Status @ TRANSPLANT,1,CLINICAL INFORMATION
362,HBV_SURF_TOTAL,$,2,Character,3217,3218,RECIPIENT HBV Surface Antibody Total @ TRANSPLANT,1,CLINICAL INFORMATION
363,TX_TYPE,,3,Character,3219,3221,TYPE OF PANCREAS TRANSPLANT,1,
364,MED_COND_TRR,,10,Character,3222,3231,RECIPIENT MEDICAL CONDITION PRE-TRANSPLANT   @ TRANSPLANT,1,PATIENT STATUS
365,PX_STAT,,1,Character,3232,3232,"RECIPIENT STATUS(Died, ReTX, Lost, Alive)",0,PATIENT STATUS
366,PX_STAT_DATE,MMDDYY,10,Numeric,3233,3242,RECIPIENT STATUS DATE,0,PATIENT STATUS
367,PREV_KI_DATE,MMDDYY,10,Numeric,3243,3252,RECIPIENT PREVIOUS KIDNEY TRANSPLANT-MOST RECENT DATE,1,
368,FUNC_STAT_TRF,,10,Character,3253,3262,RECIPIENT FUNCTIONAL STATUS-MOST RECENT AT FOLLOW-UP,0,PATIENT STATUS AT TIME OF FOLLOW-UP
369,SHARE_TY,,10,Character,3263,3272,"ALLOCATION TYPE-LOCAL/REGIONAL/NATIONAL (3 = Local, 4 = Regional, 5 = National, 6 = Foreign)",1,
370,PSTATUS,,10,Character,3273,3282,"Boolean Most Recent Patient Status (based on composite death date) (1=Dead, 0=Alive)",0,PATIENT STATUS
371,PTIME,,10,Numeric,3283,3292,Patient Survival Time in days (based on composite death date),0,
372,LOS,,10,Numeric,3293,3302,RECIPIENT LENGTH OF STAY POST TX,1,"PATIENT STATUS(PRIORITY KIDNEY,THEN PANCREAS TRR)"
373,COMPOSITE_DEATH_DATE,MMDDYY,10,Numeric,3303,3312,Composite Patient Death Date from OPTN or Verified from External Sources,0,
374,PAYBACK,,1,Character,3313,3313,TRANSPLANT AS A RESULT OF A PAYBACK?,1,
375,ECD_DONOR,,10,Character,3314,3323,ECD DONOR,1,
376,AGE_GROUP,,1,Character,3324,3324,RECIPIENT AGE GROUP A=ADULT P=PEDS,1,
377,MALIG,,1,Character,3325,3325,ANY PREVIOUS MALIGNANCY?,1,
378,MALIG_TY_OSTXT,,50,Character,3326,3375,PREVIOUS MALIGNANCY TYPE TEXT,1,
379,MALIG_TY,,10,Character,3376,3385,PREVIOUS MALIGNANCY TYPE,1,
380,HGT_CM_CALC,,8,Numeric,3386,3393,CALCULATED RECIPIENT HEIGHT(cm),1,
381,WGT_KG_CALC,,8,Numeric,3394,3401,CALCULATED RECIPIENT WEIGHT (kg),1,
382,BMI_CALC,,8,Numeric,3402,3409,Calculated Recipient BMI,1,
383,LT_ONE_WEEK_DON,,1,Character,3410,3410,Donor Less Than 7 Days Old at Time of Donation,1,
384,REJ_BIOPSY,,1,Character,3411,3411,TRR-KIDNEY REJECTION BIOPSY DONE,0,POST TRANSPLANT CLINICAL INFORMATION
385,REJCNF_KI,,1,Character,3412,3412,TRR KIDNEY REJECTION CONFIRMED BY BIOPSY,0,POST TRANSPLANT CLINICAL INFORMATION
386,REJTRT_KI,,1,Character,3413,3413,TRR RECIPIENT TREATED FOR KIDNEY REJECTION,0,POST TRANSPLANT CLINICAL INFORMATION
387,REJCNF_PA,,1,Character,3414,3414,TRR PANCREAS REJECTION CONFIRMED BY BIOPSY,0,POST TRANSPLANT CLINICAL INFORMATION
388,REJTRT_PA,,1,Character,3415,3415,TRR RECIPIENT TREATED FOR PANCREAS REJECTION,0,POST TRANSPLANT CLINICAL INFORMATION
389,TRR_ID_CODE,,15,Identifier,3416,3430,ENCRYPTED TRANSPLANT IDENTIFIER,1,
390,ADMISSION_DATE,MMDDYY,10,Numeric,3431,3440,RECIPIENT DATE OF ADMISSION TO TX CENTER,1,PATIENT STATUS
391,DISCHARGE_DATE,MMDDYY,10,Numeric,3441,3450,RECIPIENT DISCHARGE DATE FROM TX CENTER,1,PATIENT STATUS
392,COMPL_ABSC,$,1,Character,3451,3451,RECIPIENT-PANCREAS TRANSPLANT COMPLICATION-ABCESS/LOCAL INFECTION,0,POST TRANSPLANT CLINICAL INFORMATION
393,COMPL_ANASLK,$,1,Character,3452,3452,RECIPIENT-PANCREAS TRANSPLANT COMPLICATION-ANASTOMOTIC LEAK,0,POST TRANSPLANT CLINICAL INFORMATION
394,COMPL_PANCREA,$,1,Character,3453,3453,RECIPIENT-PANCREAS TRANSPLANT COMPLICATION-PANCREATITIS,0,POST TRANSPLANT CLINICAL INFORMATION
395,OTH_COMPL_OSTXT,$,50,Character,3454,3503,RECIPIENT-PANCREAS TRANSPLANT COMPLICATION-OTHER TYPE SPECIFIED,0,POST TRANSPLANT CLINICAL INFORMATION
